"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"544","I want to be notified about new geocaches within a radius of %1 km.","112:./templates2/ocstyle/myprofile.tpl","Ich möchte über neue Caches im Umkreis von %1 km benachrichtigt werden.","I want to be notified about new geocaches within a radius of %1 km.","Ik wil op de hoogte gehouden worden over nieuwe caches in een omtrek van %1 km.","I want to be notified about new geocaches within a radius of %1 km.","","I want to be notified about new geocaches within a radius of %1 km.","Присылать уведомления о новых тайниках в радиусе %1 км."
"545","BBCode for web forums:","29:./templates2/ocstyle/mystatpic.tpl","BBCode (für Foren):","BBCode for web forums:","BBCode voor forums:","BBCode for web forums:","","BBCode for web forums:","BBCode для форумов:"
"546","%1 statstics of %2","24:./templates2/ocstyle/mystatpic.tpl","%1-Statistik von %2","%1 statstics of %2","%1 statistieken van %2","%1 statstics of %2","","%1 statstics of %2",""
"547","Choose logo","9:./templates2/ocstyle/change_statpic.tpl","Statistikbild wählen","Choose logo","Kies logo","Choose logo","","Choose logo",""
"548","HTML code:","23:./templates2/ocstyle/mystatpic.tpl","HTML-Code:","HTML code:","HTML code:","HTML code:","","HTML code:","HTML:"
"549","Text displayed:","23:./templates2/ocstyle/change_statpic.tpl","Angezeigter Text:","Text displayed:","Getoonde tekst:","Text displayed:","","Text displayed:",""
"550","Text contains invalid characters!","28:./templates2/ocstyle/change_statpic.tpl","Ungültige Zeichen im Text!","Text contains invalid characters!","Ongeldige tekens in de tekst!","Text contains invalid characters!","","Text contains invalid characters!",""
"551","Available logos:","","Verfügbare Logos:","Available logos:","Beschikbare logo's:","Logos disponibles","","Available logos:",""
"552","Cancel","50:./templates2/ocstyle/addtolist.tpl","Abbrechen","Cancel","Annuleren","Cancel","","Cancel","Отменить"
"553","Save","17:./lang/de/ocstyle/editcache.inc.php","Speichern","Save","Opslaan","Guardar","","Save",""
"554","The following settings are stored for your logo:","17:./templates2/ocstyle/change_statpic.tpl","Folgende Einstellungen sind für dein Statistikbild gespeichert:","The following settings are stored for your logo:","De volgende instellingen voor uw statistiekenweergave zijn opgeslagen:","The following settings are stored for your logo:","","The following settings are stored for your logo:",""
"555","Show log entries","0:table:sys_menu;field=menustring","Logeinträge anzeigen","Show log entries","Toon logs","Show log entries","","Show log entries",""
"556","Statistics picture","9:./templates2/ocstyle/mystatpic.tpl","Statistikbild","Statistics picture","Statistieklogo","Statistics picture","","Statistics picture",""
"558","Don't use the HTML editor by default.","186:./templates2/ocstyle/myprofile.tpl","Als Vorgabe keinen HTML-Editor verwenden.","Don't use the HTML editor by default.","Als standaard geen HTML gebruiken.","Don't use the HTML editor by default.","","Don't use the HTML editor by default.",""
"559","Don't log me out after 60 minutes of inactivity.","173:./templates2/ocstyle/myprofile.tpl","Der automatische Logout 60 Minuten nach Verlassen der Webseite ist deaktiviert.","Ne pas me connecter après 60 minutes d’inactivité.","Niet automatisch uitloggen na 60 minuten inactiviteit.","Don't log me out after 60 minutes of inactivity.","","Don't log me out after 60 minutes of inactivity.",""
"560","I'm taking a PMR walkie talkie on channel 2 with me.","164:./templates2/ocstyle/myprofile.tpl","Ich nehme ein PMR-Funkgerät auf Kanal 2 mit zum Cachen.","Je prends un talkie-walkie PMR sur le canal 2 avec moi.","Ik neem een PMR zender mee op kanaal 2.","I'm taking a PMR walkie talkie on channel 2 with me.","","I'm taking a PMR walkie talkie on channel 2 with me.",""
"561","Others:","160:./templates2/ocstyle/myprofile.tpl","Sonstiges:","Autres&nbsp;:","Anders:","Others:","","Others:",""
"562","Notification about new geocaches is disabled.","133:./templates2/ocstyle/myprofile.tpl","Nicht über neue Caches benachrichtigen.","Les notifications de publication de nouvelles géocaches est désactivé.","Notificaties over nieuwe caches is uitgeschakeld.","Notification about new geocaches is disabled.","","Notification about new geocaches is disabled.",""
"563","Notify me about new geocaches within a radius of %1 km.","125:./templates2/ocstyle/myprofile.tpl","Über neue Caches im Umkreis von %1 km benachrichtigen.","Notifier moi sur les nouvelles géocaches dans un rayon de %1 km.","Notificatie over nieuwe caches binnen een straal van %1.","Notify me about new geocaches within a radius of %1 km.","","Notify me about new geocaches within a radius of %1 km.",""
"564","Notifications:","106:./templates2/ocstyle/myprofile.tpl","Benachrichtigung:","Notifications&nbsp;:","Notificaties:","Notifications:","","Notifications:","Уведомления:"
"565","Home coordinates:","94:./templates2/ocstyle/myprofile.tpl","Koordinaten:","Accueil Coordonnées&nbsp;:","Thuis coördinaten:","Home coordinates:","","Home coordinates:","Координаты:"
"566","Country:","185:./lang/de/ocstyle/editcache.tpl.php","Land:","Pays&nbsp;:","Land:","Country:","","Country:","Страна:"
"567","Last name:","83:./templates2/ocstyle/adminuser.tpl","Nachname:","Nom&nbsp;:","Achternaam:","Last name:","","Last name:","Фамилия:"
"568","First name:","79:./templates2/ocstyle/adminuser.tpl","Vorname:","Prénom&nbsp;:","Voornaam","First name:","","First name:","Имя:"
"569","Recommended","74:./templates2/ocstyle/newlogs.tpl","Empfohlen","Recommandé","Aanbevolen","Recommended","","Recommended",""
"570","%1 found the geocache","30:./templates2/ocstyle/res_logentry_logitem.tpl","%1 hat den Geocache gefunden","%1 trouvé la géocache","%1 heeft de cache gevonden","%1 found the geocache","","%1 found the geocache","%1 нашёл тайник"
"571","%1 did not find the geoacache","32:./templates2/ocstyle/res_logentry_logitem.tpl","%1 hat den Geocache nicht gefunden","%1 n’a pas trouvé la geoacache","%1 heeft de cache niet gevonden","%1 did not find the geoacache","","%1 did not find the geoacache",""
"572","%1 wrote a note","34:./templates2/ocstyle/res_logentry_logitem.tpl","%1 hat eine Bemerkung geschrieben","%1 a écrit une note","%1 heeft een notitie geschreven","%1 wrote a note","","%1 wrote a note",""
"573","%1 has visited the event","36:./templates2/ocstyle/res_logentry_logitem.tpl","%1 hat das Event besucht","%1 a visité l'événement","%1 heeft het evenement bezocht","%1 has visited the event","","%1 has visited the event",""
"574","%1 wants to visit the event","38:./templates2/ocstyle/res_logentry_logitem.tpl","%1 möchte das Event besuchen","%1 veut visiter l'événement","%1 wil het evenement bezoeken","%1 wants to visit the event","","%1 wants to visit the event",""
"575","%1","54:./templates2/ocstyle/res_logentry_logitem.tpl","%1","%1","%1","%1","","%1",""
"576","Edit","19:./lang/de/ocstyle/editcache.inc.php","Bearbeiten","Èditer","Bewerken","Editar","","Edit",""
"577","Delete","18:./lang/de/ocstyle/editcache.inc.php","Löschen","effacer","Verwijderen","Eliminar","","Delete",""
"578","Upload picture","73:./templates2/ocstyle/res_logentry_logitem.tpl","Bild hinzufügen","Ajouter une image","Afbeelding toevoegen","Upload picture","","Upload picture",""
"579","Pictures for this log entry: ","87:./templates2/ocstyle/res_logentry_logitem.tpl","Bilder für diesen Logeintrag: ","Photos pour ce log : ","Afbeeldingen voor deze log: ","Pictures for this log entry: ","","Pictures for this log entry: ",""
"580","Back to the geocache listing","36:./templates2/ocstyle/res_logentry.tpl","Zurück zum Geocache","Retour à la géocache","Terug naar de cachebeschrijving","Back to the geocache listing","","Back to the geocache listing",""
"581","E-mail address:","240:./templates2/ocstyle/myprofile.tpl","E-Mail-Adresse:","Adresse E-mail :","E-mailadres:","E-mail address:","","E-mail address:","Электронный адрес:"
"582","Log entries for %1","16:./templates2/ocstyle/res_logentry.tpl","Logeinträge für %1","Logs pour %1","Logs van %1","Log entries for %1","","Log entries for %1","Журнал"
"584","Picture selection for %1","31:./templates2/ocstyle/imagebrowser.tpl","Bilderauswahl für %1","Sélection de photos pour %1","Afbeeldingsselectie voor %1","Picture selection for %1","","Picture selection for %1",""
"585","There are no pictures for this geocache.","45:./templates2/ocstyle/imagebrowser.tpl","Für diesen Cache wurden noch keine Bilder hochgeladen.","Il n'y a pas d'images pour cette géocache.","Voor deze cache zijn nog geen afbeeldingen.","There are no pictures for this geocache.","","There are no pictures for this geocache.",""
"586","As preview picture","48:./templates2/ocstyle/imagebrowser.tpl","Vorschaubild einfügen","Comme l'image d'aperçu","Voorbeeld afbeelding toevoegen","As preview picture","","As preview picture",""
"587","My profile data","9:./templates2/ocstyle/myprofile.tpl","Profildaten","Mon profil de données","Mijn profiel","My profile data","","My profile data","Профиль"
"588","The following information is stored in your user profile:","19:./templates2/ocstyle/myprofile.tpl","Folgende Daten sind in deinem Benutzerprofil gespeichert:","Les informations suivantes sont stockées dans votre profil utilisateur :","De volgende informatie is opgeslagen in jouw gebruikersprofiel:","The following information is stored in your user profile:","","The following information is stored in your user profile:","Эта информация сохранена в вашем профиле:"
"590","Username:","37:./lang/de/ocstyle/login.tpl.php","Benutzername:","Nom d'utilisateur&nbsp;:","Gebruikersnaam:","Username:","","Username:","Пользователь:"
"591","The country is not valid.","84:./templates2/ocstyle/myprofile.tpl","Das Land ist nicht gültig.","Le pays n'est pas valide.","Het land is niet geldig.","The country is not valid.","","The country is not valid.",""
"592","The entered radius is not valid.","118:./templates2/ocstyle/myprofile.tpl","Der eingegebene Radius ist nicht gültig.","Le rayon n'est pas valide.","De opgegeven radius is niet geldig.","The entered radius is not valid.","","The entered radius is not valid.",""
"595","New password:","96:./templates2/ocstyle/newpw.tpl","Neues Passwort:","Nouveau mot de passe&nbsp;:","Nieuw wachtwoord:","New password:","","New password:","Новый пароль:"
"596","Request","40:./templates2/ocstyle/newemail.tpl","Anfordern","Demande","Verzoek","Request","","Request",""
"597","Change","93:./templates2/ocstyle/mydetails.tpl","Ändern","Changement","Veranderen","Change","","Change","Сохранить"
"598","Request code","39:./templates2/ocstyle/newpw.tpl","Anfordern","Code demandé","Code opvragen","Request code","","Request code","Получить код"
"599","New password code","622:./lib2/logic/user.class.php","Sicherheitscode für ein neues Passwort","Nouveau code de mot de passe","Nieuw wachtwoord code","New password code","","New password code",""
"600","on %1 you requested a security code to change your password.","6:./templates2/mail/newpw.tpl","Du hast am %1 einen Sicherheits-Code angefordert, um dein Passwort zu ändern.","le %1 vous avez demandé un code de sécurité afin de changer votre mot de passe.","je hebt op %1 een veiligheidscode opgevraagd om je wachtwoord te veranderen.","on %1 you requested a security code to change your password.","","on %1 you requested a security code to change your password.",""
"601","The following code has been generated: %1","8:./templates2/mail/newemail.tpl","Folgender Sicherheits-Code wurde generiert: %1","Le code suivant a été généré : %1","De volgende veiligheidscode werd gegenereerd: %1","The following code has been generated: %1","","The following code has been generated: %1",""
"602","This code is valid for 3 days.","9:./templates2/mail/newemail.tpl","Der Sicherheits-Code bleibt drei Tage gültig.","Ce code est valable pendant 3 jours.","Deze code blijft 3 dagen geldig.","This code is valid for 3 days.","","This code is valid for 3 days.",""
"603","You can enter your new password at %1newpw.php.","11:./templates2/mail/newpw.tpl","Dein neues Passwort kannst du unter %1newpw.php eingeben.","Vous pouvez entrer votre nouveau mot de passe à %1newpw.php.","Je nieuwe wachtwoord kun je op %1newpw.php invoeren.","You can enter your new password at %1newpw.php.","","You can enter your new password at %1newpw.php.",""
"605","This e-mail address is not registered with a valid username.","43:./templates2/ocstyle/newpw.tpl","Die E-Mail-Adresse gehört zu keinem gültigen Benutzer.","Cette adresse e-mail n’est pas associée avec un nom d’utilisateur valide.","Dit e-mailadres hoort niet bij een geregistreerde gebruiker.","This e-mail address is not registered with a valid username.","","This e-mail address is not registered with a valid username.",""
"606","An e-mail has been sent to you containing the security code.","48:./templates2/ocstyle/newemail.tpl","Dir wurde eine E-Mail mit dem Sicherheits-Code zugesandt.","Un e-mail a été vous envoyé avec le code de sécurité.","Er is een e-mail verzonden met je veiligheidscode.","An e-mail has been sent to you containing the security code.","","An e-mail has been sent to you containing the security code.",""
